,stickiness,simulation,average_degree,average_clustering,transitivity,diameter,radius,entropy,dead_ends,ways_4
0,1000.0,47,2.3346938775510204,0.08639455782312931,0.1435546875,73,37,1.58543181838282,0.3448979591836735,0.07551020408163266
0,100.0,17,2.2413793103448274,0.09770114942528733,0.14018691588785046,19,10,1.239582106000697,0.3620689655172414,0.0
0,8500.0,22,2.302377972465582,0.08990404672507257,0.14392244593586875,206,103,2.0708337156839645,0.35319148936170214,0.05607008760951189
0,8500.0,36,2.2969367588932808,0.08246870882740426,0.13357178095707942,220,110,2.072312477670122,0.3547430830039526,0.05434782608695652
0,6000.0,37,2.2989727240524265,0.07745896800094507,0.12680521310320536,176,88,1.9711954440525414,0.35458731845554375,0.05880269217144881
0,6000.0,23,2.308457711442786,0.09310589907604884,0.14883884588318086,173,87,2.0560847789493697,0.3461265103056148,0.05685856432125089
0,250.0,2,2.368,0.07466666666666666,0.11278195488721804,26,13,1.3793313336971798,0.328,0.064
0,500.0,35,2.392,0.10199999999999995,0.15356489945155394,47,24,1.580137221724725,0.316,0.088
0,500.0,21,2.319672131147541,0.09494535519125674,0.14545454545454545,37,19,1.4453750555896874,0.3401639344262295,0.04918032786885246
0,4500.0,42,2.3322475570032575,0.08942143632697401,0.13977042538825118,148,74,1.9337889714255163,0.34108887854816194,0.06188925081433225
0,3000.0,10,2.291220556745182,0.08196526290744684,0.13436044428520244,121,61,1.8318870470371469,0.35688793718772305,0.05281941470378301
0,50.0,46,2.32,0.11333333333333333,0.17647058823529413,10,5,1.4972604821065998,0.36,0.04
0,3000.0,38,2.27076064200977,0.0692021400325656,0.11385606874328678,127,64,1.8048631341726886,0.3628750872295883,0.044661549197487785
0,250.0,49,2.193548387096774,0.06048387096774192,0.1038961038961039,30,15,1.4407292060750212,0.4032258064516129,0.07258064516129033
0,250.0,48,2.2782608695652176,0.08840579710144926,0.13333333333333333,25,13,1.5147958611961336,0.34782608695652173,0.05217391304347826
0,3000.0,39,2.3330887747615554,0.09550012227928559,0.14824031283327407,132,66,1.9644941468272172,0.3374908290535583,0.06016140865737344
0,50.0,47,2.0,0.041666666666666664,0.08108108108108109,10,5,1.4658586321567422,0.5,0.041666666666666664
0,3000.0,11,2.298110566829951,0.07965943550268235,0.12803608605135322,119,60,1.8432182292907717,0.35969209237228833,0.06088173547935619
0,4500.0,43,2.294484412470024,0.0903277378097525,0.14758819294456443,147,74,1.9005177696866065,0.35683453237410073,0.05275779376498801
0,500.0,20,2.2017543859649122,0.05774853801169594,0.09330143540669857,42,21,1.4431817589499627,0.39473684210526316,0.03508771929824561
0,500.0,34,2.2777777777777777,0.08201058201058199,0.132,57,29,1.5660374421672276,0.376984126984127,0.051587301587301584
0,250.0,3,2.3206106870229006,0.10941475826972014,0.16981132075471697,35,18,1.52722689044358,0.3435114503816794,0.03816793893129771
0,6000.0,22,2.3048031780426146,0.08191886360900497,0.1330948121645796,169,85,2.0283789271081427,0.352112676056338,0.05706031058143734
